Health Facility Name,Address,pincode,landline_number,Facility Type
Hegde,"['Sub Centre Hegde', 'Tanirkuli Road Hegde Post', 'Hegde Village', 'Karnataka', 'Uttara Kannada', 'Kumta ', 'Kumta ']",581330.0,08386-269036,SubCentre
B R Project Hospital Govt Hospital,"['Primary Health Centre B R Project', 'Main Road', 'Singanamane', 'Karnataka', 'Shimoga', 'Bhadravati ', 'Bhadravathi']",577115.0,08282-257493,Primary Health Centre
Puduvadavalli,"['Hsc Puduvadavalli', 'Rajannagar', 'Tamil Nadu', 'Erode', 'Sathyamangalam', 'Sathyamangalam Mpty']",638401.0,04295-243226,SubCentre
Sileth,"['Sileth', 'Sileth Bharna', 'Na', 'Bihar', 'Saharsa', 'Saur Bazar', 'Saor Bazar']",852221.0,Na,SubCentre
Shc Churrisajwa,"['Shc Churrisajwa', 'Churrisajwa', 'Madhya Pradesh', 'Chhindwara', 'Harrai']",480224.0,9407390294,SubCentre
Shc Dhartipara,"['Shc Dhartipara', 'Batra', 'Dhartipara', 'Chhattisgarh', 'Surajpur', 'Bhaiyathan', 'Bhaiyathan']",497225.0,NO,SubCentre
Nilwande,"['Nilwande', 'Maharashtra', 'Ahmadnagar', 'Sangamner']",422605.0,9881966510,SubCentre
Kotikesavaram,"['Behind Panchayathi', 'Kotikesavaram', 'Andhra Pradesh', 'East Godavari District', 'Korukonda Mandal']",533290.0,8832499754,Primary Health Centre
Kandamangalam,"['Kandamangalam Phc', 'Pondy Main Road', 'Kandamangalam', 'Tamil Nadu', 'Viluppuram']",605102.0,4132644943,Primary Health Centre
Colony Nursing Home Ngo,"['Laxmi Park Colony', 'Navi Peth Pune', 'Pune', 'Maharashtra', 'Pune City']",411030.0,020 3952 8679,Maternity Home
Ssk Hscl Colony,"['Patel Para', 'Station Maroda New Market', 'Near Govt School', 'Chhattisgarh', 'Durg', 'Durg']",490024.0,7557855810,Urban Health Centre
Inamkulathur Chc Gr Ii,"['Govt Primary Health Centre', 'Anna Nagar Inamkulathur', 'Inamkulathur', 'Tamil Nadu', 'Tiruchirappalli', 'Srirangam', 'Manikandam']",620009.0,4312695406,Community Health Center
Shc Bannebujurg,"['Bannebujurg', 'Madhya Pradesh', 'Tikamgarh', 'Palera']",472221.0,-,SubCentre
Uhc Gilakaladindi,"['Gilakaladindi', 'Bandarkota', 'Andhra Pradesh', 'Krishna District', 'Machilipatnam Mandal', 'Guduru']",521149.0,8672,Urban Health Centre
Hebbal,"['Primary Health Center Hebbal', 'Kanakawad Road Hebbal', 'Shirahatti Taluku Hebbal Village', 'Karnataka', 'Gadag', 'Shirhatti ', 'Shirahatti']",582112.0,8487260611,Primary Health Centre
Chamrupur,"['Chamrupur', 'Utraula', 'Uttar Pradesh', 'Balrampur', 'Sridattganj']",271609.0,-,SubCentre
Shc Naila,"['Sub Health Centre Naila', 'Sub Health Centre Naila Block Nawagarh', 'Nawagarh', 'Chhattisgarh', 'Janjgir - Champa', 'Navagarh']",495557.0,7587855442,SubCentre
Nochikuttai,"['Nochukuttai', 'Tamil Nadu', 'Dharmapuri', 'Pappireddipatti']",631206.0,04346-252233,SubCentre
Kurudumale X,"['Phc Kurudumale', 'Main Road', 'Kurudumale', 'Karnataka', 'Kolar', 'Mulbagal ', 'Mulbagal']",563131.0,08159-290260,Primary Health Centre
Kilpauk Uhp,"['Temple Street', 'New Avadi Road Kipauk', 'Tamil Nadu', 'Chennai', 'Chennai Zone Viii']",600010.0,26600105,Primary Health Centre
Lohara,"['Health Sub Centre Lohra', 'Chainpura', 'Bihar', 'Kaimur (Bhabua) *', 'Adhaura']",821102.0,6180269229,SubCentre
Kalas,"['Kalas Lasurne Street', 'Near Primary School', 'Maharashtra', 'Pune', 'Indapur']",413105.0,02118 -235188,Primary Health Centre
Shc Akkalwadi,"['Shc Akkalwadi', 'On Road', 'Akkalwadi', 'Madhya Pradesh', 'Betul', 'Athner']",460110.0,07144-286436,SubCentre
Behta,"['Sub Center Behta', 'Musandi Road', 'Behta', 'Uttar Pradesh', 'Unnao', 'Purwa ', 'Hilauli']",209821.0,5142257167,SubCentre
Shc Ghatkamtha,"['Shc Ghatkamtha', 'Sector Khamarpani', 'Tehsil Bichhua', 'Madhya Pradesh', 'Chhindwara', 'Bichhua', 'Bichua']",480111.0,7162259212,SubCentre
Nagala,"['Subcenter Nagala', 'Near Z P School', 'Nagala', 'Maharashtra', 'Chandrapur']",441224.0,07172-232167,SubCentre
Hattikeri,"['Sub Centre Hattikeri', 'Ankola Karwar Highway Road', 'Hattikeri Village', 'Karnataka', 'Uttara Kannada', 'Ankola ', 'Ankola ']",581314.0,08388-282209,SubCentre
Dangeru Sc,"['Apr', 'Ramalayam Street', 'Dangeru', 'Andhra Pradesh', 'East Godavari District', 'Mandapeta']",533263.0,0,SubCentre
Angrial Sc,"['Angrail Subcentre', 'Ramnagar Road', 'Angrail', 'West Bengal', 'North 24 Parganas', 'Gaighata']",743265.0,-,SubCentre
Bhaisara,"['Sub Center', 'Bhaisara', 'Uttar Pradesh', 'Mathura', 'Mat', 'Raya']",281003.0,0,SubCentre
Chc Athner,"['Chc Athner', 'Main Road', 'Athner', 'Madhya Pradesh', 'Betul']",460110.0,07144-286436,Community Health Center
Kurkumbh,"['Baramati Road', 'Kurkumbh', 'Maharashtra', 'Pune', 'Daund']",413802.0,2117235422,Primary Health Centre
Amgaon Khurd,"['Subcentre Amgaonkhurd', 'Sc Amgaonkhurd At Po Amgaonkhurd Ta Salekasa Dist Gondia', 'Amgaonkhurd Rondha Salekasa Murumtola Ganpattola', 'Maharashtra', 'Gondiya *', 'Salekasa']",441916.0,9404212734,SubCentre
Santhaithanapatti,"['Santhaithanampatti', 'Th Ward', 'Tamil Nadu', 'Salem', 'Mettur', 'Nangavalli']",636404.0,04298-268343,Primary Health Centre
Bagahi,"['Panchayat Bhawan', 'Bagahi', 'Bagahi Bazar', 'Bihar', 'Gopalganj', 'Katiya']",841437.0,9771243171,SubCentre
Pangmoul Fw Sc,"['Government Building', 'Mahur', 'Pangmol', 'Assam', 'Dima Hasao District', 'Mahur Bphc']",788830.0,0,SubCentre
Ulipurampudur,"['Feb', 'Keel Weethi', 'Ulipuramputhur', 'Tamil Nadu', 'Salem', 'Gangavalli']",636118.0,0427-247449,SubCentre
Nadupatti,"['Maternity Center', 'Nadar Street', 'Nadupatti', 'Tamil Nadu', 'Tiruchirappalli', 'Manapparai', 'Vaiyampatti']",621315.0,4332292750,SubCentre
Chamarajanagar Dh,"['District Hospital', 'B R Double Road', 'Chamarajanagar', 'Karnataka', 'Chamarajanagar ', 'Chamaraja Nagar']",571313.0,08226-222067,District Hospital
Gurawali,"['Gurawali', 'Bulandshahr', 'Uttar Pradesh', 'Bulandshahar ', 'Anupshahr', 'Janhgirabad']",203001.0,9456841489,SubCentre
Shc Baroda,"['Main Road Village Baroda', 'Village Baroda', 'Madhya Pradesh', 'Jabalpur', 'Panagar']",483220.0,9479883731,SubCentre
Nphc Mawai,"['Nphc Mawai', 'Kardaha Road', 'Mawai', 'Uttar Pradesh', 'Unnao', 'Purwa ', 'Hilauli']",209821.0,5142257167,Primary Health Centre
Thenmalai,"['Govt Primary Health Centre Thenmalai', 'Raise Mill Street', 'Thenmalai', 'Tamil Nadu', 'Tirunelveli ', 'Sivagiri', 'Vasudevanallur']",627757.0,0,Primary Health Centre
Sendamaram,"['Sendamaram Chc', 'Main Road', 'Sendamaram', 'Tamil Nadu', 'Tirunelveli ', 'Sankarankoil', 'Melaneelithanallur']",627857.0,4636245121,Community Health Center
Shc Veersagar,"['Simra Road', 'Veersagar', 'Madhya Pradesh', 'Tikamgarh', 'Prithvipur']",472337.0,9893201568,SubCentre
E Chettipalayam,"['Primary Health Centre E Chettipalayam', 'Sathy Main Road', 'E Chettipalayam', 'Tamil Nadu', 'Erode', 'Gobichettipalayam', 'Nambiyur']",638458.0,4285267625,Primary Health Centre
Jayra,"['Sub Center Jayra', 'Rajasthan', 'Udaipur', 'Kherwara']",313804.0,9784218174,SubCentre
Sattenapalli,"['Main Road', 'Oop Ntr Complex', 'Andhra Pradesh', 'Guntur District', 'Sattenapalle Mandal', 'Sattenapalli']",522403.0,8641232213,Community Health Center
Loha Thal,"['Loha Thal', 'Uttarakhand', 'Pithoragarh', 'Berinag*', 'Berinag']",262531.0,5964244575,SubCentre
Shc Taregaon,"['Sub Health Centre', 'Near Govt Ps', 'Taregaon', 'Madhya Pradesh', 'Balaghat', 'Baihar', 'Birsa']",481051.0,7637257982,SubCentre
Bayri,"['Sub Center Bayri', 'Rajasthan', 'Udaipur', 'Kherwara']",313803.0,9461659328,SubCentre
Narsingh Pura,"['Rental House Narsingh Pura', 'Anganwadi Ki Pass Narsingh Pura', 'Narsingh Pura Digod Sultanpur Kota Rajasthan', 'Rajasthan', 'Kota ', 'Digod', 'Sultanpur']",325204.0,744552240,SubCentre
Jarud,"['Main Road Amravati', 'Ward No', 'Maharashtra', 'Amravati', 'Warud']",444908.0,7229233081,SubCentre
Phc Kursakanta,"['Phc Kursakanta', 'Kursakanta Hat', 'Kursakanta', 'Bihar', 'Araria', 'Kursakatta']",854331.0,6453245651,Primary Health Centre
Shc Khedamevda,"['Khedamevda', 'Madhya Pradesh', 'Morena']",476001.0,7532239337,SubCentre
Mundera Bazar,"['Mundera Bazar', 'Chourichoura', 'Uttar Pradesh', 'Gorakhpur', 'Chauri Chaura', 'Sardarnagar']",273202.0,9415970331,SubCentre
Shc Barkhed,"['Shc Barkhed', 'On The Road', 'Barkhed', 'Madhya Pradesh', 'Betul', 'Multai']",460663.0,07147-221444,SubCentre
Brahmno Ki Saredi,"['Phc B Ki Sareri', 'Rajasthan', 'Bhilwara', 'Asind']",311026.0,1480228919,Primary Health Centre
Bareshar,"['Bareshar', 'Uttar Pradesh', 'Ghazipur', 'Mohammadabad ', 'Kasimabad']",233230.0,5482252126,SubCentre
Uphc Bhanpuri,"['Somudayik Bhawan Bhanpuri', 'Bazar Chowk Ward No', 'Bazar Chowk', 'Chhattisgarh', 'Raipur', 'Dharseeva']",492001.0,0771-4013005,Urban Health Centre
Halavalli,"['Sub Centre Halavalli', 'Halavalli Road', 'Halavalli Village', 'Karnataka', 'Uttara Kannada', 'Ankola ', 'Ankola ']",581314.0,08419-242394,SubCentre
Shc Sidhi,"['S H C Sidhi', 'Sidhi', 'Madhya Pradesh', 'Shahdol', 'Jaisinghnagar']",484771.0,7651221270,SubCentre
Shc Dongar Vijaypur,"['Village', 'Dongar Vijaypur', 'Madhya Pradesh', 'Guna', 'Raghogarh']",473226.0,7544262249,SubCentre
N Chandrbhan,"['Matra Shisu Parivaar Kalyan N Chandrbhan', 'N Chandrbhan', 'Nil', 'Uttar Pradesh', 'Mathura', 'Faraha']",282007.0,9456220003,SubCentre
Hire Hadagali A,"['Sub Center', 'Near Pkg Bank', 'Hire Hadagali', 'Karnataka', 'Bellary', 'Hadagalli', 'Hadagalli']",583216.0,8277513068,SubCentre
Acharya Shree Bhikshu Hospital,"['Acharyashri Bhikshu Govt Hosp', 'Moti Nagar', 'Delhi', 'West', 'Patel Nagar']",110015.0,1125423011,100-500 Bedded Hospital
Krishnanagar E Sc,"['Krishnanagar East Sub Centre', 'Jangipara', 'Krishnanagar East', 'West Bengal', 'Hooghly']",712404.0,Nil,SubCentre
Shc Bijasan,"['Shc', 'Bhawti', 'Barwani', 'Madhya Pradesh', 'Barwani ']",451551.0,7290236201,SubCentre
Bhada,"['Bhada', 'Maharashtra', 'Latur', 'Ausa']",413511.0,02383-228509,SubCentre
Bas Sarayan,"['Sub Center', 'Natha Ka Mohalla', 'Taranagar', 'Rajasthan', 'Churu ']",331302.0,1561249420,SubCentre
Dhansa,"['Main Road Dhansa', 'Rajasthan', 'Jalor', 'Bhinmal', 'Jaswantpura']",307518.0,2969263140,Primary Health Centre
Bhatigaon,"['Bhtigaon', 'Uttarakhand', 'Pithoragarh', 'Pithoragarh\\\n', 'Munakot']",262521.0,5964215393,SubCentre
Ariyur Thirukkai,"['Subcentre', 'School Street', 'Athiyuthirukkai', 'Tamil Nadu', 'Viluppuram', 'Kanai']",605701.0,-,SubCentre
Shc Padarwara,"['Shc Padarwara', 'Madhav Nagar', 'Katni', 'Madhya Pradesh', 'Katni ', 'Murwara']",483501.0,9479900167,SubCentre
Karunkulam,"['Primary Health Centre', 'Naanguneri Road', 'Srivaikundam', 'Tamil Nadu', 'Thoothukkudi', 'Srivaikuntam', 'Karungulam']",628615.0,04630  264055,Community Health Center
Boyal,"['Boyal', 'Rajasthan', 'Jodhpur', 'Bilara']",342605.0,9799512583,SubCentre
Mangapur,"['Sangipur', 'Uttar Pradesh', 'Pratapgarh']",230139.0,5341262666,SubCentre
Jagra Amba,"['Jagra Amba', 'Rajasthan', 'Udaipur', 'Gogunda']",313705.0,9928814117,SubCentre
Shc Jamanya Ab,"['Shc Jamanya Ab', 'Chatli', 'Niwali', 'Madhya Pradesh', 'Barwani ']",451666.0,7286273470,SubCentre
Shc Khairi,"['Sub Health Centre', 'Vill Khairi', 'Khairi', 'Madhya Pradesh', 'Balaghat', 'Khairlanji']",481337.0,7633276566,SubCentre
Parsa,"['Jawahar Lal Singh', 'Parsa', 'Parsa Fatuha', 'Bihar', 'Patna', 'Fatwah']",803201.0,6122440412,SubCentre
Shc Ahmadpur,"['Near Hanuman Chowk', 'Bus Stand', 'Madhya Pradesh', 'Vidisha']",464001.0,7592246960,SubCentre
Nayabad,"['Nayabad Health Sub Centre', 'Sonarpur Bantala Main Road', 'Vill Nayabad P O Nayabad P S Sonarpur Sonarpur Block', 'West Bengal', 'South 24 Parganas', 'Sonarpur']",700150.0,9.13E+11,SubCentre
Ajijpur,"['Ajijpur', 'Uttar Pradesh', 'Mathura', 'Chhata', 'Nandganv']",281403.0,5662246059,SubCentre
Kinnisultana X,"['Phc Kinnisultan', 'Near Bustand', 'Karnataka', 'Gulbarga', 'Aland ']",585302.0,08477-229163,Primary Health Centre
Uppiliyakkudi,"['Primary Health Centre Upplikudi', 'Keeranur Main Rode', 'Upplikudi', 'Tamil Nadu', 'Pudukkottai', 'Kulathur', 'Kunnandarkoil']",622504.0,4339208562,Primary Health Centre
Karanda,"['Karanda', 'Uttar Pradesh', 'Ghazipur']",233224.0,5482220265,SubCentre
Shravan,"['Parabwadi', 'Shravan Road', 'Maharashtra', 'Sindhudurg', 'Malwan']",416616.0,2365246233,SubCentre
Iswarpur,"['Iswarpur', 'Rural', 'Odisha', 'Baleshwar', 'Oupada P.S. ', 'Oupada']",756042.0,06782-247500,Community Health Center
Theriruveli,"['Primary Health Centre', 'Theriruveli Mudukulathur Main Road Theriruveli', 'Theriruveli', 'Tamil Nadu', 'Ramanathapuram', 'Mudukulathur']",623712.0,4576207731,Primary Health Centre
Ramanathapuram Uhp,"['D No', 'Sungam Bypass Road', 'Sungam Ramanathapuram', 'Tamil Nadu', 'Coimbatore', 'Coimbatore South', 'Coimbatore Corpn']",641045.0,0422-2320026,Primary Health Centre
Jawas,"['Primary Health Center Jawas', 'Rajasthan', 'Udaipur', 'Kherwara']",313803.0,9636163821,Primary Health Centre
Edaganasalai,"['Hsc Edaganasalai', 'Near Primary School Edaganasalai', 'Edaganasalai', 'Tamil Nadu', 'Salem', 'Sankari', 'Mecdonaldchouldry']",637502.0,0427 2492255,SubCentre
Gharipakhna,"['Shc Gharipakhna', 'Near Gram Panchyat Gharipakhna', 'Community Health Center Pondi Uproda Distt Korba C G', 'Chhattisgarh', 'Korba ', 'Poundiuproda', 'Podiuparoda']",495445.0,7810287202,SubCentre
Karalayam,"['Hsc Karalaium', 'Karalaium', 'Sathy', 'Tamil Nadu', 'Erode', 'Sathyamangalam', 'Sathyamangalam Mpty']",638503.0,04295-296343,SubCentre
Nagardevale,"['Subcenter Nagardevale Tal Nagar', 'Bhingar Road', 'Nagardevale', 'Maharashtra', 'Ahmadnagar', 'Nagar']",414002.0,9922572838,SubCentre
Rh Jintur,"['Rh Jintur', 'Infront Of Government Rest House', 'At Jintur Taluka Jintur District Parbhani', 'Maharashtra', 'Parbhani', 'Jintur']",431509.0,2457231237,Community Health Center
Dev Nagar,"['Dev Nagar', 'Rajasthan', 'Jodhpur', 'Bilara']",342601.0,9928301373,SubCentre
Nardana,"['Phc Naradana', 'Agra Road', 'At Naradana Tal Shindkheda', 'Maharashtra', 'Dhule', 'Sindkhede', 'Shindkheda']",425404.0,2566227384,Primary Health Centre
Reddyhalli,"['Midigeshi', 'Karnataka', 'Tumkur', 'Madhugiri ', 'Madhugiri']",572132.0,8277507109,SubCentre
Mela Sinthalaichery,"['Sub Centres Mela Sinthalaichery', 'Kaliyamman Kovil St', 'Melasinthalaisery', 'Tamil Nadu', 'Theni  ', 'Uthamapalayam']",625524.0,nil,SubCentre
Velampalem Sc,"['Apr', 'Panchayat Street', 'Velampalem', 'Andhra Pradesh', 'East Godavari District', 'Ramachandrapuram Mandal']",533262.0,0,SubCentre
Muribahal,"['Chc Muribahal', 'Muribahal', 'Odisha', 'Balangir', 'Kantabanji ', 'Muribahal']",767037.0,06655-272113,Community Health Center
Shc Khamaria,"['Village Khamhariya', 'Near Govt School', 'Madhya Pradesh', 'Jabalpur', 'Panagar']",482005.0,9479895814,SubCentre
Kaujageri,"['Subcentre Koujageri', 'Basaveshwar Temple', 'Koujageri Village', 'Karnataka', 'Gadag', 'Ron ', 'Ron']",582202.0,8381264408,SubCentre
Triplicane Uhp,"['Dr Bescent Road', 'Icce Hpuse', 'Tamil Nadu', 'Chennai', 'Chennai Zone Ix']",600005.0,28442466,Primary Health Centre
Devar Hubballi,"['Devar Hubballi', 'Karnataka', 'Dharwad', 'Dharwad']",580007.0,0836-2786682,SubCentre
Aurahi,"['Hsc Aurahi', 'Aurahi', 'Bihar', 'Madhepura', 'Gamharia']",852108.0,06476 281576,SubCentre
Nittur,"['Nittur', 'Near Anganawadi', 'Nittur Post', 'Karnataka', 'Belgaum', 'Khanapur']",591302.0,8336268100,SubCentre
Rch Health Post Deshbandhu Ward Bhandara,"['Deshbandhu Ward', 'Near State Bank Of India', 'Bhandara', 'Maharashtra']",441904.0,7184255299,Urban Health Posts
Harraiya,"['Harraiya', 'Uttar Pradesh', 'Sant Kabir Nagar', 'Mehdawal']",272154.0,8052080271,SubCentre
Mardi,"['Phc Mardi', 'Wani Mardi Roadwar', 'Maharashtra', 'Yavatmal', 'Maregaon']",445303.0,9767267128,Primary Health Centre
Rampuria,"['Rampuria', 'Rajasthan', 'Jodhpur', 'Bilara']",342602.0,9829827761,SubCentre
Tmc Uthalsar Health Centre,"['Uthalsar Health Centre Meenatai Thakare Chowk Castle Mill Naka Thane W', 'Meenatai Thakare Chowk Castle Mill Naka Thane', 'Maharashtra', 'Thane']",400601.0,022-25341253,Urban Health Posts
Bhatpara,"['Bhatpara Sub Centre No', 'Bhatpara Bodai Road', 'Bhatpara Noapara', 'West Bengal', 'North 24 Parganas', 'Barrackpur - Ii', 'Barrackpore-Ii']",700110.0,3325236763,SubCentre
Musehri,"['Hsc Musehri', 'Musehri', 'Bihar', 'Siwan', 'Barharia']",841232.0,6154289224,SubCentre
Shegaon,"['Subcenter Shegaon', 'Jath Pandharpur Road', 'Shegaon', 'Maharashtra', 'Sangli', 'Jat']",416404.0,02344-286039,SubCentre
Phc Khamra,"['Phc Khamra', 'Sector Khamra', 'Tehsil Bichhua', 'Madhya Pradesh', 'Chhindwara', 'Bichhua', 'Bichua']",480111.0,9407187989,Primary Health Centre
Mettupalayam,"['Health Sub Centre', 'Pilaiyar Kovil St', 'Mettupalayam', 'Tamil Nadu', 'Thiruvallur', 'Poonamallee', 'Poonamallee Mpty']",600061.0,8870822812,SubCentre
Ksdc Hospital,"['Ksnagar Pudukkottai Road Thanjavur', 'Thanjavur', 'Tamil Nadu', 'Thanjavur Corporation']",613005.0,04362-226297,Others
Shc Gaurjhamar,"['Sub Centre', 'Gourjhamar', 'Madhya Pradesh', 'Sagar', 'Deori']",470113.0,7586250551,SubCentre
Nelagetanahatti,"['Primary Health Centre Nelagethanahatti', 'Nelagethanahatti', 'Karnataka', 'Chitradurga', 'Challakere ', 'Challakere ']",577536.0,08195-200209,Primary Health Centre
Madduru,"['Mar', 'Oc Area', 'Oc Area Madduru', 'Andhra Pradesh', 'Krishna District', 'Kankipadu Mandal']",521151.0,-,SubCentre
Phc Jarua,"['Khargapur Road', 'Madhya Pradesh', 'Tikamgarh', 'Jatara']",472118.0,-,Primary Health Centre
Shc Karuatal,"['Shc Karuatal', 'Amraha Road', 'Chc Singhpur', 'Madhya Pradesh', 'Shahdol', 'Sohagpur']",484001.0,07652-274208,SubCentre
Dyadi,"['Up Sawasth Kendr Dyodi', 'Govt Sec School Ke Pas', 'Panchayat Se Pahle', 'Rajasthan', 'Jaipur ', 'Phulera (Hq.Sambhar)', 'Sambhar']",303328.0,254220,SubCentre
Aphc Muwani,"['Muwani', 'Uttarakhand', 'Pithoragarh', 'Didihat', 'Kanalichhina']",262552.0,Not avilable,Primary Health Centre
Lote,"['At Lote', 'Post Lote', 'Khed', 'Maharashtra', 'Ratnagiri']",415722.0,2356272853,Primary Health Centre
Payappachiwadi,"['Payappachiwadi Subcenter', 'Near Grampanchayat', 'Payappachiwadi', 'Maharashtra', 'Sangli', 'Miraj']",416410.0,2268859,SubCentre
Madhyakhanda,"['Madhyakhanda Chc', 'Madhyakhanda', 'Dasapalla', 'Odisha', 'Nayagarh  ', 'Dasapalla  ']",752093.0,6757225148,Community Health Center
Pecharthal Phc,"['Pecharthal Phc', 'Pecharthal', 'Tripura', 'Unakoti District', 'Pencharthal']",799289.0,3822265206,Primary Health Centre
Kheda,"['Panchyat Ghar', 'Khera', 'Uttar Pradesh', 'Hapur', 'Dhaulana(New)', 'Dhaulana']",245301.0,8586063848,SubCentre
Kallikudi,"['Community Centre', 'North Street', 'K Kallikudi', 'Tamil Nadu', 'Tiruchirappalli', 'Srirangam', 'Manikandam']",620009.0,4312695406,SubCentre
Doddaullarthi,"['Subcentre Doddaullarthi', 'Doddaullarthi', 'Karnataka', 'Chitradurga', 'Challakere ', 'Challakere ']",577537.0,08195-261227,SubCentre
Sarola,"['Govt Building Sarola', 'Near Gram Panchyaat Sarola', 'Sarola Digod Sultanpur Kota Rajasthan', 'Rajasthan', 'Kota ', 'Digod', 'Sultanpur']",325203.0,744552240,SubCentre
Deokurali,"['Sub Center', 'Devkurli', 'Tuljapur', 'Maharashtra', 'Osmanabad']",413601.0,02471-256060,SubCentre
Rh Solankur,"['Solnkur Rh', 'Radhanagari Saravade Road', 'Near To Balumama Temple', 'Maharashtra', 'Kolhapur', 'Radhanagari']",416211.0,2321231126,Community Health Center
Hasegaon,"['Hasegaon', 'Maharashtra', 'Latur', 'Ausa']",413531.0,02382-268033,Primary Health Centre
Gunakarpur,"['Gunakarpur', 'Bihar', 'Madhubani', 'Lakhnaur']",847403.0,85441096,SubCentre
Madderi,"['Sub Centre Madderi', 'Madderi', 'Karnataka', 'Kolar', 'Kolar ', 'Kolar']",563102.0,8152231299,SubCentre
Neppalli,"['Feb', 'Near G P Office', 'Near G P Office Neppalli', 'Andhra Pradesh', 'Krishna District', 'Kankipadu Mandal']",521245.0,-,SubCentre
Hardobara,"['Hsc Hardobara', 'Hardobara', 'Bihar', 'Siwan', 'Barharia']",841232.0,6154289224,SubCentre
Chidambaram Uphc,"['Chidambaram Uphc', 'Lalkan St', 'Chidambaram', 'Tamil Nadu', 'Cuddalore', 'Chidambaram Mpty']",608001.0,04144-223935,Primary Health Centre
Chc Kirnapur,"['Community Health Centre', 'Lanji Balaghat Road', 'Kirnapur', 'Madhya Pradesh', 'Balaghat']",481115.0,7632246144,Community Health Center
Shc Dugariya,"['Sub Health Centre Dungaria Village Dungaria', 'Villge Dungaria', 'Dungaria Block Parasia', 'Madhya Pradesh', 'Chhindwara', 'Parasia']",480557.0,7161222628,SubCentre
Thiruvidachery,"['Primary Health Centre', 'Main Road Thiruvidachery', 'Thiruvidachery', 'Tamil Nadu', 'Thiruvarur', 'Kodavasal']",610107.0,4366269111,Primary Health Centre
Mahballa,"['Mahballa', 'Bihar', 'Purnia', 'Rupauli']",854204.0,N\\A,SubCentre
Nighotwadi,"['Nighotwadi', 'Maharashtra', 'Pune', 'Ambegaon']",410503.0,2133285399,SubCentre
Agaram,"['N', 'Vannur Street', 'Ward Agaram', 'Tamil Nadu', 'Cuddalore', 'Chidambaram', 'Parangipettai']",608501.0,04144 237285,SubCentre
Hanuman Nagar,"['Hsc Hanuman Nagar', 'Yadav Tola', 'Hanuman Nagar', 'Bihar', 'Madhepura', 'Murliganj']",852113.0,6476226526,SubCentre
Sarve,"['Sub Centre Sarve', 'Bhakthakody Thingalady Road', 'Sarve', 'Karnataka', 'Dakshina Kannada', 'Puttur', 'Puttur']",574202.0,08251-282543,SubCentre
Bharai,"['Vill Bharai', 'Uttar Pradesh', 'Shahjahanpur', 'Jaitipur']",242301.0,7839820522,SubCentre
Tamdoli,"['Tamdoli', 'Rajasthan', 'Nagaur', 'Degana']",341503.0,9001898477,SubCentre
Ajani,"['Sub Center Ajani', 'Ajani', 'Khapa Road', 'Maharashtra', 'Nagpur', 'Savner']",441107.0,7113236062,SubCentre
Malkapur,"['Sub Centre Malkapur', 'Malkapur', 'Maharashtra', 'Satara', 'Karad']",415539.0,2164254330,SubCentre
Kurichi,"['Primary Health Centre', 'Kurichi', 'Tamil Nadu', 'Thanjavur', 'Pattukkottai', 'Peravurani']",614602.0,04373-201644,Primary Health Centre
Hsc Kariyatpur,"['Health Sub Center Kariyatpur', 'Kariyatpur', 'Ichak', 'Jharkhand', 'Hazaribagh', 'Ichak']",825402.0,0,SubCentre
Hsc Churchu Hq,"['Chc Churchu', 'Churchu', 'Jharkhand', 'Hazaribagh', 'Churchu']",825310.0,0,SubCentre
Hsc Puregara,"['Puregra', 'Main Bazar', 'Jharkhand', 'Garhwa', 'Ranka']",822125.0,0,SubCentre
Shakun,"['Shakun', 'Uttarakhand', 'Pithoragarh', 'Pithoragarh\\\n', 'Munakot']",262521.0,5964215393,SubCentre
Karansar,"['Ratan Lal Patani Primary Healt Centre', 'Karansar', 'Rajasthan', 'Jaipur ', 'Phulera (Hq.Sambhar)', 'Sambhar']",303603.0,1424282415,Primary Health Centre
Hsc Jagsimar,"['Hsc Jagsimar', 'Bhelwaghati Road', 'Jagsimar', 'Jharkhand', 'Giridih', 'Deori']",815314.0,6556234789,SubCentre
Aguta,"['Aguta', 'Bulandshahr', 'Uttar Pradesh', 'Bulandshahar ', 'Gulawathi']",203001.0,9412522262,Primary Health Centre
Basaralu,"['Phc Basaralu', 'Basaralu', 'Mandya', 'Karnataka', 'Mandya ', 'Mandya']",571416.0,8232276673,Primary Health Centre
Manupur,"['Hsc Manpur', 'Govindpur', 'Bihar', 'Saran', 'Nagra']",841442.0,06152-292337,SubCentre
Shc Berchha,"['Govt Building', 'Magron', 'Civil Hospital Sewdha', 'Madhya Pradesh', 'Datia', 'Seondha']",475675.0,0,SubCentre
Phooli,"['Phooli', 'Zamania', 'Uttar Pradesh', 'Ghazipur']",232329.0,0,SubCentre
Deshnok,"['Samuayik Swasthya Kendra Deshnok', 'Sadar Bazar', 'Deshnok', 'Rajasthan', 'Bikaner']",334801.0,0151-2825858,Community Health Center
Kdmc Shastri Nagar,"['Shastrinagar General Hospital', 'Kopar Road', 'Shastrinagar', 'Maharashtra', 'Thane', 'Kalyan']",421202.0,0251-22481073,Urban Health Posts
Pudusampalli,"['Th Ward Subramaniya Nagar', 'Subramanianagar Town', 'Tamil Nadu', 'Salem', 'Mettur', 'Nangavalli']",636403.0,04298-268343,SubCentre
