drug,sideeffects
fluoxymesterone,"Blood cholesterol increased, Virilism, Amenorrhoea, Coagulopathy, Anaphylactic shock"
fluphenazine,"Tachycardia, Liver injury, Parkinsonism, Upper respiratory tract infection, Laryngeal oedema"
flurandrenolone,"Skin atrophy, Skin striae, Infection, Folliculitis, Hypersensitivity"
flurazepam,"Dyspnoea, Pruritus, Somnolence, Coma, Thinking abnormal"
flurbiprofen,"Incontinence, Dermatitis, Arthritis, Diarrhoea, Cholecystitis"
flutamide,"Discomfort, Dermatitis, Galactorrhoea, Anaemia, Insomnia"
fluticasone,"Nasal discomfort, Nasal dryness, Injury, Rhinorrhoea, Immune system disorder"
fluticasone/salmeterol,"Cardiac disorder, Endocrine disorder, Connective tissue disorder, Headache, Cataract"
fluvastatin,"Myopathy, Asthenia, Hepatitis chronic active, Influenza like illness, Visual impairment"
fluvoxamine,"Gastrointestinal ulcer, Toothache, Agitation, Photosensitivity reaction, Mania"
folate,"Feeling abnormal, Vitamin B12 deficiency, Irritability, Anaphylactic shock, Nausea"
fondaparinux,"Procedural site reaction, Urinary retention, Hepatobiliary disease, Vascular purpura, Headache"
formoterol,"Arrhythmia, Malaise, Malnutrition, Gout, Cardiac failure congestive"
fosamprenavir,"Haemoglobin, Gastrointestinal disorder, Fatigue, Myocardial infarction, Blood triglycerides increased"
fosaprepitant,"Infection, Urinary tract infection, Skin disorder, Cognitive disorder, Abdominal discomfort"
foscarnet,"Confusional state, Muscular weakness, Insomnia, Thrombosis, Diabetes insipidus"
fosfomycin,"Pain, Body temperature increased, Gastrointestinal pain, Aplastic anaemia, Pruritus"
fosinopril,"Pleuritic pain, Gout, Dermatitis, Palmar-plantar erythrodysaesthesia syndrome, Leukopenia"
fosinoprilat,"Musculoskeletal discomfort, Pancytopenia, Transaminases increased, Conduction disorder, Arrhythmia supraventricular"
fosphenytoin,"Akathisia, Myoclonus, Hyperkinesia, Atrial flutter, Tinnitus"
fospropofol,"Headache, Nervous system disorder, Mediastinal disorder, Pulmonary function test decreased, Pruritus"
fotemustine,"Thrombocytopenia, Nausea, Pruritus, Vomiting, Drug interaction"
frovatriptan,"Electrocardiogram abnormal, Nausea, Urinary tract disorder, Renal pain, Pollakiuria"
furosemide,"Agitation, Urethral disorder, Muscle spasms, Accidental exposure to product, Rash"
fusidic,"Myoglobin urine present, Bone disorder, Neutropenia, Vision blurred, Hypersensitivity"
gabapentin,"Erythema, Tendonitis, Mental disorder, Hypoglycaemia, Hypersensitivity"
gadobenate,"Supraventricular extrasystoles, Laboratory test abnormal, Urethral disorder, Hypocalcaemia, Blood alkaline phosphatase increased"
gadobutrol,"Hot flush, Breast feeding, Insomnia, Dizziness, Convulsion"
gadodiamide,"Arthralgia, Myocardial ischaemia, Hypotension, Malaise, Personality disorder"
gadofosveset,"Nausea, Urethral disorder, Dry mouth, Groin pain, Dysgeusia"
gadolinium,"Dermatitis, Cyanosis, Hypotension, Back pain, Pruritus"
gadopentetate,"Loss of consciousness, Parosmia, Hearing impaired, Eye pain, Surgery"
gadoteridol,"Gingivitis, Nephrogenic systemic fibrosis, Pruritus, Dizziness, Dermatitis"
gadoversetamide,"Vasodilation procedure, Electrocardiogram QT prolonged, Pain, Feeling hot, Iron binding capacity total"
galantamine,"Atrioventricular block first degree, Cataract, Musculoskeletal discomfort, Decreased appetite, Gastroenteritis"
gamma-aminobutyric,"Anaphylactic shock, Angioedema, Pain, Urticaria, Injection site pain"
ganciclovir,"Libido decreased, Alanine aminotransferase increased, Bone pain, Asthenia, Dermatitis bullous"
gatifloxacin,"Dacryocystitis, Dry eye, Rhinorrhoea, Ageusia, Conjunctival haemorrhage"
gefitinib,"Dermatitis exfoliative, Nausea, Cough, Dry mouth, Paronychia"
gemcitabine,"Alopecia, Ill-defined disorder, Respiratory failure, Hypomagnesaemia, Hyporeflexia"
gemeprost,"Vaginal haemorrhage, Flushing, Anaphylactic shock, Dysmenorrhoea, Dizziness"
gemfibrozil,"Dyspepsia, Cholelithiasis, Oedema, Disturbance in sexual arousal, Confusional state"
gemifloxacin,"Hyponatraemia, Dizziness, Vertigo, Cardiac disorder, Congestive cardiomyopathy"
gentamicin,"Extravasation, Stomatitis, Dermatitis, Anaphylactic shock, Headache"
glibenclamide,"Gastrointestinal pain, Eye disorder, Hypopituitarism, Hepatitis, Dermatitis bullous"
gliclazide,"Hypoglycaemia, Laboratory test abnormal, Hypertension, Myocardial infarction, Neuralgia"
glimepiride,"Palpitations, Jaundice, Porphyria non-acute, Abdominal pain, Hyperbilirubinaemia"
glipizide,"Gastrointestinal pain, Pruritus, Insomnia, Thrombocytopenia, Hyperhidrosis"
glucagon,"Nausea, Vomiting, Tachycardia, Drug interaction, Hypotension"
glucose,"Abscess, Extravasation, Thrombophlebitis, Chills, Fluid retention"
glutamine,"Anorectal discomfort, Dermatitis, Dehydration, Pain, Chills"
glycerol,"Rash, Cough, Asthenia, Headache, Swelling"
glycine,"Hypotension, Urticaria, Oedema, Visual impairment, Respiratory tract congestion"
glycopyrrolate,"Ventricular fibrillation, Abdominal discomfort, Tension, Abnormal behaviour, Aggression"
gold,"Diarrhoea, Renal failure acute, Traumatic lung injury, Ulcer, Hepatic failure"
gonadorelin,"Breast disorder, Erythema, Diarrhoea, Ovarian neoplasm, Pain"
granisetron,"Rash, Anxiety, Orthostatic hypotension, Extrapyramidal disorder, Syncope"
graphene,"Obstructive airways disorder, Obliterative bronchiolitis, Dehydration, Intestinal obstruction, Gastrointestinal obstruction"
griseofulvin,"Neuropathy peripheral, Nausea, Confusional state, Angioedema, Gastrointestinal haemorrhage"
guaifenesin,"Dermatitis, Vomiting, Rash, Urticaria, Nephrolithiasis"
guanfacine,"Skin exfoliation, Weight increased, Rhinitis, Sinus arrhythmia, Gastrointestinal pain"
guanidinium,"Thrombocytopenia, Petechiae, Hyperhidrosis, Dizziness, Rash"
halcinonide,"Skin atrophy, Leukoderma, Leukoderma, Secondary adrenocortical insufficiency, Dermatitis acneiform"
halobetasol,"Leukoderma, Skin atrophy, Infection, Rash, Dermatitis"
halofantrine,"Pruritus, Chest pain, Asthenia, Dyspepsia, Stomatitis"
haloperidol,"Visual impairment, Dermatitis, Hyperprolactinaemia, Salivary hypersecretion, Akinesia"
hemin,"Renal failure acute, Iron overload, Serum ferritin increased, Coagulopathy, Leukocytosis"
heparin,"Nausea, Skin exfoliation, Haematoma, Anaphylactoid reaction, Rhinitis"
hepatitis,"Paralysis, Thrombocytopenia, Somnolence, Eczema, Myalgia"
hetastarch,"Tachycardia, Angioedema, Influenza like illness, Cough, Cardiac failure congestive"
hexachlorophene,"Dermatitis, Erythema, Photosensitivity reaction"
hexamethylmelamine,"Convulsion, Ataxia, Thrombocytopenia, Asthenia, Fatigue"
hexaminolevulinate,"Bladder spasm, Anaphylactic shock, Hypersensitivity, Anaphylactoid reaction, Cystitis"
histamine,"Erythema, Injection site dermatitis, Skin disorder, Musculoskeletal discomfort, Abdominal distension"
homatropine,"Bladder dilatation, Mental disorder, Agitation, Somnolence, Eye discharge"
hydralazine,"Splenomegaly, Urinary retention, Feeling abnormal, Cardiac failure congestive, Paraesthesia"
hydrochlorothiazide,"Ecchymosis, Angina pectoris, Flatulence, Loss of consciousness, Musculoskeletal stiffness"
hydrocodone,"Hyperhidrosis, Arthralgia, Dysphoria, Abdominal pain, Mediastinal disorder"
hydrocortisone,"Intraocular pressure increased, Vascular purpura, Skin atrophy, Viral infection, Dermatitis contact"
hydroflumethiazide,"Jaundice, Vasculitis necrotising, Pancreatitis, Jaundice cholestatic, Asthenia"
hydromorphone,"Blood testosterone decreased, Amnesia, Ureteral spasm, Vision blurred, Duodenitis"
hydroxocobalamin,"Chest pain, Blood pressure increased, Sensitisation, Polycythaemia vera, Feeling hot"
hydroxybutyrate,"Cataplexy, Dyspepsia, Cardiac disorder, Pulmonary function test decreased, Blood uric acid increased"
hydroxychloroquine,"Body temperature increased, Oedema, Skin disorder, Agitation, Vomiting"
hydroxyl,"Fluid overload, Venous thrombosis, Phlebitis, Hyponatraemia, Haemolysis"
hydroxypropyl,"Vision blurred, Hyperaemia, Hypersensitivity, Photophobia, Ocular discomfort"
hydroxyurea,"Headache, Vomiting, Hypomagnesaemia, Asthenia, Dermatitis bullous"
hydroxyzine,"Depressed level of consciousness, Stupor, Hypotension, Hypersensitivity, Tremor"
ibandronate,"Back pain, Urticaria, Cystitis, Infestation, Depression"
ibuprofen,"Infection, Cognitive disorder, Flatulence, Dermatitis exfoliative, Neuritis"
ibutilide,"Rhythm idioventricular, Loss of consciousness, Sinus tachycardia, Ventricular arrhythmia, Atrioventricular block"
icodextrin,"Psoriasis, Fluid overload, Shock, Periorbital oedema, Vasculitis"
idarubicin,"Hepatic function abnormal, Embolism venous, Oesophagitis, Burning sensation, Abdominal pain"
ifosfamide,"Muscle twitching, Rhabdomyolysis, Aminoaciduria, Pulmonary toxicity, Anaemia neonatal"
iloperidone,"Salivary hypersecretion, Amenorrhoea, Nasopharyngitis, Urinary tract disorder, Hyperchlorhydria"
iloprost,"Gingival bleeding, Vomiting, Back pain, Cough, Back pain"
imatinib,"Urethral disorder, Dyspepsia, Nasopharyngitis, Vertigo, Dizziness"
imipramine,"Decreased appetite, Abdominal pain, Hypertension, Pancytopenia, Delusion"
imiquimod,"Rash erythematous, Paraesthesia, Influenza like illness, Application site erosion, Vulvovaginal pain"
indacaterol,"Bronchospasm, Hyperglycaemia, Cardiac disorder, Paraesthesia, Sinusitis"
indapamide,"Lethargy, Hypercalcaemia, Anorectal disorder, Blood glucose increased, Conjunctivitis"
indinavir,"Diarrhoea, Anaphylactoid reaction, Lymphadenopathy, Skin infection, Immune system disorder"
indomethacin,"Mouth ulceration, Necrotising fasciitis, Dizziness, Pneumothorax, Cardiac failure congestive"
iodide,"Blood disorder, Heart rate irregular, Nasopharyngitis, Eosinophilia, Confusional state"
iodipamide,"Dyspnoea, Cyanosis, Body temperature increased, Headache, Renal failure"
iodixanol,"Injection site inflammation, Injection site reaction, Oedema peripheral, Cardio-respiratory arrest, Sensory disturbance"
iohexol,"Body temperature increased, Pain, Hyperthyroidism, Thrombophlebitis, Abdominal pain"
iopamidol,"Bradycardia, Convulsion, Cardiac arrest, Anaphylactic shock, Neutropenia"
iopromide,"Salivary hypersecretion, Visual impairment, Face oedema, Infarction, Lacrimal structural disorder"
iotrolan,"Agitation, Nausea, Epilepsy, Convulsion, Gastrointestinal disorder"
ioversol,"Haemorrhage, Pain, Protein urine present,  visual, Anoxia"
ioxaglate,"Hypersensitivity, Loss of consciousness, Renal failure acute, Coronary artery insufficiency, Neurological symptom"
ioxilan,"Dyspnoea, Pruritus, Hypotonia, Tachycardia, Dysgeusia"
ipratropium,"Gastrointestinal disorder, Dyspnoea, Dyspepsia, Anaphylactic shock, Gastrointestinal motility disorder"
irbesartan,"Haemolytic anaemia, Hyponatraemia, Abdominal pain upper, Electrolyte imbalance, Wheezing"
irbesartan-hydrochlorothiazide,"Tremor, Constipation, Ventricular arrhythmia, Rhabdomyolysis, Tinnitus"
irinotecan,"Neutropenic infection, Thrombophlebitis, Sudden death, Angiopathy, Peripheral embolism"
iron,"Skin discolouration, Feeling abnormal, Constipation, Throat tightness, Injection site extravasation"
isocarboxazid,"Neuritis, Pollakiuria, Dry mouth, Hyperhidrosis, Constipation"
isoflurane,"Salivary hypersecretion, Liver injury, Delirium, Hepatic function abnormal, Hepatic necrosis"
isomannide,"Withdrawal hypertension, Thirst, Dyspepsia, Weight decreased, Hypokalaemia"
isoniazid,"Vomiting, Agranulocytosis, Rash, Neuropathy peripheral, Hyperbilirubinaemia"
isopropyl,"Visual impairment, Sinusitis, Iritis, Scotoma, Bronchitis"
isoproterenol,"Headache, Palpitations, Tachycardia, Hypotension, Sinus rhythm"
isosorbide,"Rash, Oedema peripheral, Hypotension, Angina pectoris, Loss of consciousness"
isosorbide-5-mononitrate,"Bronchitis, Musculoskeletal pain, Nervous system disorder, Urethral disorder, Flatulence"
isosulfan,"Pruritus, Anaphylactic shock, Urticaria, Asthma, Angioedema"
isoxsuprine,"Hypoglycaemia, Hypocalcaemia, Abdominal discomfort, Tachycardia foetal, Rash"
isradipine,"Hyperhidrosis, Dermatitis, Dizziness, Constipation, Insomnia"
itraconazole,"Renal failure, Constipation, Infestation, Neuropathy peripheral, Increased appetite"
ivabradine,"Visual impairment, Pruritus, Bradycardia, Rash, Skin disorder"
ivacaftor,"Breast mass, Oropharyngeal pain, Skin disorder, Rhinitis, Gastrointestinal pain"
ivermectin,"Choroiditis, Iridocyclitis, Stevens-Johnson syndrome, Ocular hyperaemia, Chills"
ixabepilone,"Headache, Dizziness, Sensorimotor disorder, Acute pulmonary oedema, Oedema"
kanamycin,"Paralysis, Nephropathy toxic, Neurotoxicity, Meniere's disease, Paraesthesia"
ketamine,"Convulsion, Vomiting, Muscle twitching, Diplopia, Vision blurred"
ketoconazole,"Application site reaction, Vomiting, Gynaecomastia, Dermatitis contact, Dry skin"
ketoprofen,"Purpura, Pharyngitis, Personality disorder, Somnolence, Dermatitis"
ketorolac,"Purpura, Angioedema, Diplopia, Constipation, Malaise"
ketotifen,"Conjunctival hyperaemia, Shock, Hepatitis, Insomnia, Cystitis noninfective"
labetalol,"Agranulocytosis, Blood urea increased, Catatonia, Body temperature increased, Malaise"
lacosamide,"Nervous system disorder, Eosinophilia, Gait disturbance, Muscle spasms, Coordination abnormal"
lactate,"Pain, Eczema, Dermatitis, Skin hyperpigmentation, Skin disorder"
lactulose,"Thirst, Flatulence, Abdominal discomfort, Dehydration, Nausea"
lamivudine,"Nervousness, Phlebitis, Immune system disorder, Gynaecomastia, Skin odour abnormal"
lamotrigine,"Vasodilation procedure, Menstrual disorder, Epididymitis, Dysmenorrhoea, Goitre"
lanreotide,"Chest pain, Blood alkaline phosphatase increased, Pain, Corneal deposits, Arthralgia"
lansoprazole," auditory, Cholelithiasis, Anaphylactic shock, Blood lactate dehydrogenase increased, Dysgeusia"
lanthanum,"Gastrointestinal pain, Hypercalcaemia, Graft complication, Nausea, Dyspepsia"
lapatinib,"Ejection fraction decreased, Dyspepsia, Arthralgia, Menopausal symptoms, Neutropenia"
lasofoxifene,"Gastrointestinal pain, Eyelid oedema, Dry mouth, Eye disorder, Ultrasound breast abnormal"
latanoprost,"Dermatitis atopic, Back pain, Uveitis, Rash, Arthralgia"
leflunomide,"Ulcer, Rash maculo-papular, Hepatic enzyme abnormal, Angioedema, Eye disorder"
lenalidomide,"Lymphoma cutis, Urethral disorder, Femoral neck fracture, Oral infection, Klebsiella sepsis"
lercanidipine,"Urethral disorder, Loss of consciousness, Eye disorder, Somnolence, Aphthous stomatitis"
letrozole,"Asthenia, Angioedema, Cerebral haemorrhage, Hypercholesterolaemia, Erythema multiforme"
leucovorin,"Rash, Pruritus, Feeling abnormal, Infection, Lethargy"
levetiracetam,"Disturbance in attention, Fungal infection, Mental disorder, Leukopenia, Suicidal ideation"
levobunolol,"Nausea, Conjunctivitis, Rash generalised, Confusional state, Respiratory failure"
levocabastine,"Eyelid oedema, Dermatitis, Headache, Fatigue, Visual impairment"
levodopa/carbidopa,"Dyspepsia, Trismus, Haemoglobin decreased, Phlebitis, Diarrhoea"
levomepromazine,"Hepatocellular injury, Agranulocytosis, Drug interaction, Necrotising enterocolitis neonatal, Sudden death"
levonorgestrel,"Vulval disorder, Arrhythmia, Infestation, Influenza, Ear infection"
levosimendan,"Ventricular fibrillation, Angiopathy, Cardiac disorder, Tachycardia, Insomnia"
lidocaine,"Dermatitis, Convulsion, Anterior spinal artery syndrome, Acidosis, Vomiting"
linaclotide,"Infestation, Gastrointestinal disorder, Hypersensitivity, Skin disorder, Diarrhoea"
linagliptin,"Pancreatitis acute, Hyperlipidaemia, Upper respiratory tract infection, Hypersensitivity, Dermatitis"
lincomycin,"Oliguria, Rash, Tinnitus, Azotaemia, Pseudomembranous colitis"
lindane,"Pruritus, Paraesthesia, Pain, Headache, Dizziness"
linezolid,"Urticaria, Decreased appetite, Red man syndrome, Neuropathy peripheral, Nausea"
liraglutide,"Headache, Feeling abnormal, Fatigue, Renal failure chronic, Hypotension"
lisdexamfetamine,"Weight increased, Immune system disorder, Hallucination, Sudden death, Psychotic disorder"
lisuride,"Regurgitation, Cardiac valve disease, Palpitations, Insomnia, Pulmonary fibrosis"
lithium,"Sluggishness, Malnutrition, Somnolence, Salivary hypersecretion, Goitre"
lodoxamide,"Headache, Eye pruritus, Vision blurred, Nausea, Visual impairment"
lomefloxacin,"Thirst, Dysuria, Stridor, Asthenia, Nervousness"
lomitapide,"Feeling abnormal, Dehydration, Ill-defined disorder, Diarrhoea, Vomiting"
lomustine,"Pulmonary fibrosis, Visual impairment, Stomatitis, Disorientation, Azotaemia"
loperamide,"Abdominal distension, Ileus paralytic, Fatigue, Dry mouth, Megacolon"
loratadine,"Hepatobiliary disease, Dermatitis bullous, Rash, Asthenia, Cardiovascular disorder"
lorazepam,"Dry mouth, Chills, Feeling abnormal, Jaundice, Bradycardia"
lorcaserin,"Malnutrition, Asthenia, Skin disorder, Oedema peripheral, Musculoskeletal pain"
lormetazepam,"Libido decreased, Tachycardia, Visual impairment, Ataxia, Withdrawal syndrome"
losartan,"Hyponatraemia, Nervous system disorder, Fibromyalgia, Dry mouth, Ecchymosis"
loteprednol,"Cataract subcapsular, Photophobia, Eye infection, Headache, Pruritus"
lovastatin,"Vasculitis, Vomiting, Dyspnoea, Cognitive disorder, Anxiety"
loxapine,"Convulsion, Hypersensitivity, Dysphagia, Protrusion tongue, Orthostatic hypotension"
lubiprostone,"Loss of consciousness, Fibromyalgia, Oedema peripheral, Vomiting, Hyperhidrosis"
luliconazole,"Cellulitis, Dermatitis contact, Tinea pedis, Tinea cruris"
lurasidone,"Gastritis, Dyslipidaemia, Dysarthria, Neuroleptic malignant syndrome, Hypokinesia"
lymecycline,"Pruritus, Photosensitivity reaction, Gastrointestinal pain, Gastrointestinal disorder, Vision blurred"
mTHPC,"Skin exfoliation, Angiopathy, Sunburn, Bone disorder, Thermal burn"
macitentan,"Infestation, Anaemia, Nasopharyngitis, Fluid retention, Hypotension"
mafenide,"Blister, Excoriation, Burning sensation, Hyperventilation, Glucose-6-phosphate dehydrogenase deficiency"
magnesium,"Flushing, Respiratory depression, Hypocalcaemia, Stupor, Hyperhidrosis"
malathion,"Chemical injury, Conjunctivitis, Burns second degree, Sensitisation"
malvidin,"Fatigue, Hypotension, Dermatitis, Somnolence, Headache"
maprotiline,"Ventricular tachycardia, Sensory loss, Sleep disorder, Photosensitivity reaction, Derealisation"
maraviroc,"Type IV hypersensitivity reaction, Bile duct cancer, Hepatobiliary disease, Epilepsy, Asthenia"
mebendazole,"Gastrointestinal pain, Menorrhagia, Rash, Agranulocytosis, Convulsion"
mebeverine,"Angioedema, Dermatitis, Face oedema, Discomfort, Rash"
mebrofenin,"Rash, Dermatitis, Nausea, Urticaria, Chills"
mecamylamine,"Vomiting, Decreased appetite, Disturbance in sexual arousal, Orthostatic hypotension, Shock"
meclofenamate,"Alopecia, Nausea, Colitis, Nocturia, Urticaria"
medroxyprogesterone,"Abscess, Asthma, Stomatitis, Tubulointerstitial nephritis, Cataract diabetic"
medrysone,"Viral infection, Pain, Vision blurred, Eye irritation, Nerve injury"
mefenamic,"Renal impairment, Anaphylactic shock, Nephrotic syndrome, Cystitis, Tension"
mefloquine,"Fatigue, Paranoia, Emotional disorder, Suicidal ideation, Chest pain"
megestrol,"Abdominal pain, Alopecia, Hypercalcaemia, Weight increased, Disturbance in sexual arousal"
melatonin,"Hot flush, Oral mucosal blistering, Infection, Muscle spasms, Muscle spasms"
meloxicam,"Musculoskeletal discomfort, Dyspepsia, Angiopathy, Flushing, Shock"
melphalan,"Blood creatine phosphokinase increased, Plasma cell myeloma, Ulcer, Mediastinal disorder, Thrombocytopenia"
memantine,"Body temperature decreased, Rhinitis, Ventricular arrhythmia, Abscess, Eructation"
meperidine,"Dizziness, Hallucination, Pruritus, Vertigo, Syncope"
mephenytoin,"Alopecia, Fatigue, Pulmonary fibrosis, Anaemia megaloblastic, Gingival hyperplasia"
mepivacaine,"Shock, Meningitis, Angioedema, Laryngeal oedema, Brain hypoxia"
meprobamate,"Shock, Asthenia, Aplastic anaemia, Anaphylactic shock, Drug eruption"
mepyramine,Skin sensitisation
meropenem,"Injection site pain, Ileus, Blood creatinine increased, Back pain, Nausea"
mesna,"Discomfort, Alopecia, Flushing, Dry mouth, Tachycardia"
metaiodobenzylguanidine,"Rash, Dizziness, Contusion, Hypersensitivity, Rash"
metaproterenol,"Body temperature increased, Dizziness, Tremor, Clonus, Asthma"
metaxalone,"Nausea, Haemolytic anaemia, Irritability, Rash, Tension"
metformin,"Emotional distress, Renal impairment, Injury, Erythema, Decreased appetite"
methacholine,"Respiratory distress, Wheezing, Dizziness, Loss of consciousness, Seasonal allergy"
methadone,"Feeling cold, Hypotension, Piloerection, Loss of consciousness, Erythema"
methamphetamine,"Gastrointestinal disorder, Agitation, Constipation, Dysphoria, Insomnia"
methazolamide,"Haemolytic anaemia, Stevens-Johnson syndrome, Decreased appetite, Haematuria, Thrombocytopenic purpura"
methenamine,"Dysuria, Dyspepsia, Abdominal discomfort, Dermatitis, Pruritus"
methimazole,"Hypoglycaemic coma, Nephritis, Neuritis, Agranulocytosis, Nausea"
methocarbamol,"Urticaria, Dizziness, Loss of consciousness, Dizziness, Pruritus"
methohexital,"Injection site pain, Rhinitis, Anxiety, Delirium, Pruritus"
methotrexate,"Cardiac disorder, Confusional state, Musculoskeletal discomfort, Hepatotoxicity, Arachnoiditis"
methsuximide," auditory, Aggression, Dermatitis, Pancytopenia, Monocytosis"
methyclothiazide,"Vertigo, Cutaneous vasculitis, Orthostatic hypotension, Rash, Dermatitis"
methyl,"Asthenia, Skin warm, Pain of skin, Skin haemorrhage, Skin exfoliation"
methyldopa,"Disturbance in sexual arousal, Diarrhoea, Rash, Infection, Mediastinal disorder"
methylene,"Diarrhoea, Vomiting, Dizziness, Gastrointestinal pain, Hypoxia"
methylergometrine,"Acute myocardial infarction, Vasospasm, Ventricular tachycardia, Headache, Chest pain"
methylnaltrexone,"Gastrointestinal pain, Pain, Abdominal pain, Hyperhidrosis, Injection site reaction"
methylphenidate,"Asthenia, Constipation, Hypoglycaemia, Palpitations, Anaphylactic shock"
methylprednisolone,"Skin striae, Hypotension, Miliaria, Obesity, Skin exfoliation"
methyltestosterone,"Embolism venous, Coagulopathy, Azoospermia, Blood cholesterol increased, Enlarged clitoris"
methysergide,"Cardiac murmur, Oliguria, Musculoskeletal discomfort, Thrombocytopenia, Asthenia"
metipranolol,"Nausea, Tension, Rhinitis, Bradycardia, Uveitis"
metoclopramide,"Tetanus, Agitation, Depression, Bradycardia, Anxiety"
metolazone,"Decreased appetite, Hypertension, Vascular purpura, Shock, Hyponatraemia"
metoprolol,"Atrioventricular block complete, Mediastinal disorder, Chest pain, Dysgeusia, Atrioventricular block first degree"
metronidazole,"Body temperature increased, Colour blindness acquired, Dysmenorrhoea, Feeling abnormal, Asthenia"
metyrapone,"Pancytopenia, Hypertension, Endocrine disorder, Nausea, Hypotension"
mexiletine,"Ataxia, Erectile dysfunction, Shock, Pulmonary toxicity, Loss of consciousness"
mianserin,"Leukopenia, Loss of consciousness, Agitation, Hypotension, Somnolence"
miconazole,"Anaemia, Nervous system disorder, Asthenia, Gastroenteritis, Discomfort"
midazolam,"Aggression, Cardiac failure, Hyperkinesia, Cardio-respiratory arrest, Dysphoria"
midodrine,"Abdominal discomfort, Nervous system disorder, Mental disorder, Aphthous stomatitis, Headache"
mifepristone,"Musculoskeletal discomfort, Hypertension, Hot flush, Decreased appetite, Anxiety"
miglitol,"Ileus paralytic, Intestinal obstruction, Flatulence, Intussusception, Pneumoperitoneum"
miglustat,"Paraesthesia, Neuritis, Polyneuropathy, Thrombocytopenia, Nervous system disorder"
milnacipran,"Gastrointestinal disorder, Hot flush, Erythema multiforme, Erectile dysfunction, Testicular pain"
milrinone,"Torsade de pointes, Infusion site reaction, Bronchospasm, Anaphylactic shock, Chest pain"
minocycline,"Joint swelling, Ataxia, Dermatitis, Leukopenia, Shock"
minoxidil,"Weight increased, Erythema multiforme, Cardiac tamponade, Nausea, Toxic epidermal necrolysis"
mipomersen,"Pruritus, Feeling abnormal, Proteinuria, Antibody test negative, Gastrointestinal disorder"
mirabegron,"Blood pressure increased, Vascular purpura, Cystitis, Infection, Gastritis"
mirtazapine,"Tendon rupture, Bronchitis, Psychotic disorder, Gingival bleeding, Withdrawal syndrome"
misoprostol,"Epistaxis, Body temperature increased, Vomiting, Dehydration, Asthenia"
mitomycin,"Discomfort, Thrombocytopenia, Erythema, Ill-defined disorder, Pain"
mitotane,"Gastrointestinal disorder, Hypercholesterolaemia, Rash, Feeling abnormal, Orthostatic hypotension"
mitoxantrone,"Blood urea abnormal, Mucosal inflammation, Asthenia, Hyperkalaemia, Ischaemia"
mivacurium,"Anaphylactic shock, Muscle spasms, Hypoxia, Hypotension, Angiopathy"
moclobemide,"Dry skin, Pruritus, Tension, Epigastric discomfort, Dermatitis"
modafinil,"Urine abnormality, Connective tissue disorder, Asthma, Amnesia, Thirst"
moexiprilat,"Diarrhoea, Anaphylactoid reaction, Tinnitus, Pruritus, Mood swings"
molindone,"Protrusion tongue, Tremor, Dysphagia, Libido increased, Galactorrhoea"
mometasone,"Dermatitis, Ear pain, Back pain, Angioedema, Rhinitis"
monamine,"Dry mouth, Asthenia, Somnolence, Anaphylactoid reaction, Headache"
monobenzone,"Burning sensation, Skin irritation, Sensitisation"
monoethanolamine,"Pleural effusion, Oesophageal ulcer, Anaphylactic shock, Body temperature increased, Spinal cord paralysis"
monomethylfumarate,"Dyspepsia, Aspartate aminotransferase increased, Eosinophilia, Rash, Abdominal pain"
monomycin,"Hepatitis, Toxic epidermal necrolysis, Deafness, Hypersensitivity, Torsade de pointes"
montelukast,"Cardiac disorder, Hallucination, Vasculitic rash, Pharyngitis, Laryngitis"
morphine,"Hypotonia, Vision blurred, Tremor, Cheyne-Stokes respiration, Stomatitis"
moxifloxacin,"Cystitis noninfective, Dry eye, Thirst, Gastrointestinal disorder, Endophthalmitis"
moxonidine,"Somnolence, Urticaria, Pruritus, Pharyngitis, Insomnia"
mupirocin,"Epistaxis, Pruritus, Dermatitis, Sensitisation, Dry mouth"
mycophenolate,"Dyspepsia, Cyanosis, Lymphadenopathy, Peritonitis, Apathy"
mycophenolic,"Agitation, Cheilitis, Immunodeficiency, Skin disorder, Hypomagnesaemia"
n-3,"Pruritus, Dysgeusia, Dyspepsia, Aspartate aminotransferase increased, Gastrointestinal disorder"
nabilone,"Tension, Palpitations, Vertigo, Menopausal symptoms, Asthenia"
nabumetone,"Constipation, Increased appetite, Vasculitis, Erythema multiforme, Erythema multiforme"
nadolol,"Disturbance in sexual arousal, Respiratory distress, Dizziness, Vascular insufficiency, Sleep disorder"
nafcillin,"Myalgia, Ill-defined disorder, Abdominal discomfort, Necrosis, Local reaction"
naftifine,"Leukopenia, Headache, Pain, Scab, Pain of skin"
nalbuphine,"Laryngeal oedema, Bradycardia, Headache, Vomiting, Dysphoria"
nalidixic,"Intracranial pressure increased, Pruritus, Dermatitis, Anaphylactic shock, Erythema"
nalmefene,"Vomiting, Malnutrition, Skin disorder, Headache, Nervous system disorder"
naloxone,"Tension, Withdrawal syndrome, Tremor, Ventricular fibrillation, Nasopharyngitis"
naltrexone,"Dyspnoea, Toothache, Convulsion, Hallucination, Feeling abnormal"
nandrolone,"Seborrhoeic dermatitis, Azoospermia, Erectile dysfunction, Local reaction, Dysphonia"
naphazoline,"Nausea, Eye oedema, Hypertension, Ocular hyperaemia, Accidental exposure to product"
